,price,offer date,ID,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Emisja CO2,Filtr cząstek stałych,Typ,Liczba drzwi,Liczba miejsc,Kolor,Akryl (niemetalizowany),Zarejestrowany w Polsce,Stan,ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Bluetooth,Czujniki parkowania tylne,Gniazdo AUX,Klimatyzacja dwustrefowa,Podgrzewane lusterka boczne,Przyciemniane szyby,Światła LED,Tapicerka skórzana,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alufelgi,Czujnik deszczu,Elektrochromatyczne lusterko wsteczne,Isofix,Komputer pokładowy,Podgrzewane przednie siedzenia,Relingi dachowe,Światła przeciwmgielne,Tempomat,Centralny zamek,Immobilizer,Radio fabryczne,ASR (kontrola trakcji),Czujnik zmierzchu,Elektryczne szyby tylne,Klimatyzacja automatyczna,Kurtyny powietrzne,Poduszki boczne przednie,Światła do jazdy dziennej,Światła Xenonowe,Wielofunkcyjna kierownica,Metalik,Perłowy,Możliwość finansowania,Bezwypadkowy,Serwisowany w ASO,Elektrochromatyczne lusterka boczne,ESP (stabilizacja toru jazdy),Hak,Alarm,Tapicerka welurowa,Gniazdo USB,Pierwszy właściciel,Klimatyzacja manualna,MP3,Poduszki boczne tylne,VAT marża,Kraj pochodzenia,Gniazdo SD,Ogrzewanie postojowe,Poduszka powietrzna chroniąca kolana,Asystent parkowania,Kamera cofania,Nawigacja GPS,Podgrzewana przednia szyba,Czujniki parkowania przednie,Odtwarzacz DVD,System Start-Stop,Faktura VAT,Leasing,Pierwsza rejestracja,Numer rejestracyjny pojazdu,Ogranicznik prędkości,Asystent pasa ruchu,Czujnik martwego pola,lub do (przebieg km),Gwarancja dealerska (w cenie),Tuner TV,Dach panoramiczny,Szyberdach,Uszkodzony,Elektrycznie ustawiane fotele,Homologacja ciężarowa,Radio niefabryczne,Klimatyzacja czterostrefowa,Regulowane zawieszenie,Tempomat aktywny,Miesięczna rata,Podgrzewane tylne siedzenia,Łopatki zmiany biegów,Okres gwarancji producenta,Zmieniarka CD,Zarejestrowany jako zabytek,HUD (wyświetlacz przezierny),Kierownica po prawej (Anglik),Tuning,Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,VIN,Matowy,Warranty if agreed with the buyer
0,23999,"18:10, 9 lutego 2021",6081537798,Osoby prywatnej,Osobowe,Opel,Astra,1.7 CDTI DPF Sports Tourer,J (2009-2015),2011,226 000 km,1 686 cm3,Diesel,110 KM,Manualna,Na przednie koła,119 g/km,Tak,Kombi,5,5,Biały,Tak,Tak,Używane,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12900,"18:08, 9 lutego 2021",6077815012,Osoby prywatnej,Osobowe,Opel,Signum,1.8 Cosmo,,2007,211 000 km,1 796 cm3,Benzyna,140 KM,Manualna,Na przednie koła,185 g/km,,Sedan,5,5,Srebrny,,,Używane,True,True,True,True,,,True,,True,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,,True,Tak,Tak,Tak,Tak,Tak,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15400,"18:08, 9 lutego 2021",6080819662,Firmy,Osobowe,Opel,Corsa,,D (2006-2014),2009,103 200 km,1 200 cm3,Benzyna,,Manualna,,,,Auta miejskie,,,Inny kolor,,,Używane,True,True,True,True,,,True,,True,True,,,True,True,True,True,True,True,True,True,,,,,True,True,True,True,True,True,,True,True,,,True,,,,Tak,Tak,True,,,,True,,Tak,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,35300,"18:07, 9 lutego 2021",6080872353,Firmy,Osobowe,Opel,Astra,1.6 D Start/Stop Sports Tourer,K (2015-),2017,180 000 km,1 598 cm3,Diesel,110 KM,Manualna,Na przednie koła,92 g/km,,Kombi,5,5,Inny kolor,,,Używane,True,True,True,True,True,True,True,,True,True,True,,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,Tak,,,,Tak,True,True,True,True,True,True,,True,True,True,Tak,Niemcy,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,58900,"18:07, 9 lutego 2021",6082171930,Firmy,Osobowe,Opel,Astra,,K (2015-),2017,91 900 km,1 598 cm3,Diesel,136 KM,Automatyczna,Na przednie koła,,,Kombi,5,5,Bordowy,,Tak,Używane,True,True,True,True,True,True,,True,True,True,True,,,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,Tak,,Tak,Tak,Tak,True,True,,True,,True,Tak,,True,,,Polska,,,,True,,True,,True,,,Tak,Tak,20/12/2017,EL2F497,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,23900,"18:07, 9 lutego 2021",6082154718,Osoby prywatnej,Osobowe,Opel,Astra,IV 1.7 CDTI Enjoy,J (2009-2015),2013,132 889 km,1 686 cm3,Diesel,110 KM,Manualna,Na przednie koła,124 g/km,,Kombi,5,5,Brązowy,,,Używane,True,True,True,True,True,True,True,,,,,,True,True,True,,,True,True,True,,True,,True,True,True,True,True,,True,,True,True,True,,True,Tak,,Tak,Tak,Tak,True,True,,True,True,True,Tak,True,True,True,,Niemcy,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,13653,"18:06, 9 lutego 2021",6079387910,Firmy,Osobowe,Opel,Corsa,,D (2006-2014),2011,199 990 km,1 300 cm3,Diesel,75 KM,Manualna,Na przednie koła,,,Auta miejskie,3,5,Biały,,,Używane,True,True,True,True,,,,,,,,,True,,True,,,True,True,,,,True,,True,True,True,,,,,True,,True,,,Tak,,Tak,Tak,Tak,True,,,,,,Tak,True,True,True,,Niemcy,,,,,,,,,,,,,13/06/2011,- AUTOPRADLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20999,"18:05, 9 lutego 2021",6077551475,Osoby prywatnej,Osobowe,Opel,Astra,IV 1.7 CDTI Enjoy,J (2009-2015),2014,256 884 km,1 686 cm3,Diesel,110 KM,Manualna,Na przednie koła,122 g/km,Tak,Kompakt,5,5,Brązowy,,Tak,Używane,True,True,True,True,True,True,True,True,True,,,,True,True,True,True,,,True,True,,,,True,True,True,True,,,,True,,True,True,,True,Tak,,,,,,True,,True,,,,,True,,,Polska,,,,,,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,16400,"18:03, 9 lutego 2021",6079437300,Osoby prywatnej,Osobowe,Opel,Corsa,1.4 16V,D (2006-2014),2011,172 850 km,1 398 cm3,Benzyna,87 KM,Manualna,Na przednie koła,134 g/km,,Auta miejskie,3,5,Czarny,,,Używane,True,True,True,True,,True,,,,,,,True,,True,,True,True,True,True,,,,,True,True,,True,True,,,,,,,,Tak,,,Tak,,,True,,True,,True,,True,True,,,Niemcy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8500,"18:02, 9 lutego 2021",6082171659,Osoby prywatnej,Osobowe,Opel,Corsa,1.0 12V Enjoy,D (2006-2014),2007,89 000 km,998 cm3,Benzyna,60 KM,Manualna,Na przednie koła,134 g/km,,Auta miejskie,3,5,Niebieski,,Tak,Używane,True,True,True,True,,,,,,True,,,True,,True,,,,,True,,,True,,True,True,True,,,,,,True,,,True,Tak,,,Tak,,,True,,,True,,,True,True,,,,,,,,,,,,,,,,22/06/2007,POBMK29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
