,price,offer date,ID,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Typ,Liczba drzwi,Liczba miejsc,Kolor,Możliwość finansowania,Faktura VAT,Kraj pochodzenia,Serwisowany w ASO,Stan,ABS,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Elektrochromatyczne lusterka boczne,CD,Immobilizer,Radio fabryczne,Centralny zamek,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Wersja,Metalik,Alufelgi,Czujniki parkowania przednie,Elektryczne szyby tylne,Isofix,Podgrzewana przednia szyba,Czujnik deszczu,Czujniki parkowania tylne,Elektrycznie ustawiane fotele,Klimatyzacja automatyczna,Wielofunkcyjna kierownica,Elektryczne szyby przednie,Czujnik zmierzchu,Gniazdo USB,Nawigacja GPS,Perłowy,Zarejestrowany w Polsce,ASR (kontrola trakcji),Bluetooth,Dach panoramiczny,Kurtyny powietrzne,Podgrzewane lusterka boczne,Poduszka powietrzna chroniąca kolana,Przyciemniane szyby,Światła do jazdy dziennej,Tapicerka skórzana,Alarm,Asystent parkowania,Elektrochromatyczne lusterko wsteczne,ESP (stabilizacja toru jazdy),Klimatyzacja dwustrefowa,Łopatki zmiany biegów,Podgrzewane przednie siedzenia,Poduszki boczne przednie,System Start-Stop,Światła LED,Tempomat aktywny,Asystent pasa ruchu,Czujnik martwego pola,Gniazdo AUX,Kamera cofania,Komputer pokładowy,Podgrzewane tylne siedzenia,Poduszki boczne tylne,Szyberdach,Światła przeciwmgielne,Emisja CO2,VAT marża,Gwarancja dealerska (w cenie),Pierwsza rejestracja,Numer rejestracyjny pojazdu,Pierwszy właściciel,Bezwypadkowy,MP3,Relingi dachowe,Hak,Tempomat,Tapicerka welurowa,Leasing,Miesięczna rata,Klimatyzacja manualna,Filtr cząstek stałych,Ogranicznik prędkości,Gniazdo SD,HUD (wyświetlacz przezierny),Światła Xenonowe,Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,Klimatyzacja czterostrefowa,Ogrzewanie postojowe,Uszkodzony,Tuning,Odtwarzacz DVD,Zmieniarka CD,Radio niefabryczne,Akryl (niemetalizowany),Homologacja ciężarowa,lub do (przebieg km),Regulowane zawieszenie,Tuner TV,Okres gwarancji producenta,VIN,Kierownica po prawej (Anglik),Matowy,Zarejestrowany jako zabytek
0,17900,"16:07, 3 lutego 2021",6081567509,Firmy,Osobowe,Ford,Transit,V (2000-2006),2003,235 000 km,2 402 cm3,Diesel,90 KM,Manualna,Na tylne koła,Minivan,5,9,Czerwony,Tak,Tak,Belgia,Tak,Używane,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26900,"16:06, 3 lutego 2021",6081567482,Osoby prywatnej,Osobowe,Ford,Mondeo,Mk4 (2007-2014),2012,249 500 km,1 600 cm3,Diesel,141 KM,Manualna,Na przednie koła,Sedan,,,Srebrny,,,,,Używane,True,True,True,True,,True,True,True,True,True,Mk4 (2007-2014),Tak,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,126000,"16:06, 3 lutego 2021",6079880474,Osoby prywatnej,Osobowe,Ford,EDGE,,2019,29 000 km,2 000 cm3,Benzyna,243 KM,Automatyczna,4x4 (dołączany automatycznie),SUV,4,5,Czarny,,,Kanada,,Używane,True,True,True,,True,True,True,True,True,True,,,True,True,True,True,,True,True,True,True,True,True,True,True,True,Tak,Tak,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,79900,"16:05, 3 lutego 2021",6081909539,Firmy,Osobowe,Ford,Kuga,II (2012-),2018,34 500 km,1 499 cm3,Benzyna,150 KM,Manualna,Na przednie koła,SUV,5,5,Szary,,,Niemcy,Tak,Używane,True,True,True,,True,True,True,True,True,True,1.5 EcoBoost FWD Edition ASS GPF,Tak,True,True,True,True,True,True,True,,True,True,True,True,True,True,,Tak,True,True,,True,True,,True,True,True,,True,,True,True,,True,True,True,True,,,,True,,True,,,,True,169 g/km,Tak,3 miesięcy,17/08/2018,PGN337KA,Tak,Tak,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,46000,"16:05, 3 lutego 2021",6081531949,Firmy,Osobowe,Ford,Focus,Mk3 (2010-),2016,51 711 km,1 499 cm3,Benzyna,150 KM,Manualna,Na przednie koła,Kombi,5,5,Niebieski,Tak,Tak,Polska,Tak,Używane,True,True,,,,,True,True,,True,,,,,,True,True,,True,,,True,,,True,,,Tak,True,True,,,,,,True,,,,,True,,,,True,True,,,,,,,True,,,,True,,,,02/03/2016,,Tak,,,,,True,,Tak,274 PLN,True,,,,,,,,,,,,,,,,,,,,,,,,,
5,14999,"16:04, 3 lutego 2021",6080115152,Osoby prywatnej,Osobowe,Ford,Mondeo,Mk4 (2007-2014),2008,345 000 km,1 753 cm3,Diesel,125 KM,Manualna,Na przednie koła,Kombi,5,,Srebrny,,,,,Używane,True,True,True,,True,True,True,True,True,True,1.8 TDCi Trend,,,,True,True,True,,True,True,,True,True,,,,,Tak,,,,True,True,True,,,,True,True,True,True,True,,,True,,,,,,True,,True,,,,True,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,51900,"16:04, 3 lutego 2021",6081907935,Osoby prywatnej,Osobowe,Ford,Mondeo,Mk5 (2014-),2015,108 000 km,2 000 cm3,Diesel,150 KM,Manualna,Na przednie koła,Kombi,5,,Szary,,,Niemcy,Tak,Używane,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,True,True,,True,True,True,True,True,True,,Tak,True,True,,True,True,,True,,,True,True,True,True,True,,True,True,True,True,,True,True,True,,True,,,,True,,,,,,Tak,Tak,True,True,,True,,,,,Tak,True,,,,,,,,,,,,,,,,,,,,,,,
7,79500,"16:04, 3 lutego 2021",6080190295,Firmy,Osobowe,Ford,Kuga,II (2012-),2017,120 000 km,1 997 cm3,Diesel,150 KM,Automatyczna,4x4 (dołączany ręcznie),SUV,5,5,Czerwony,Tak,Tak,,Tak,Używane,True,True,True,,True,True,True,True,True,True,2.0 TDCi 4WD Titanium Plus,,True,True,True,True,True,True,True,,True,True,True,True,True,True,,Tak,True,True,,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,True,,True,True,True,,True,,True,140 g/km,,,,,Tak,Tak,True,True,,True,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
8,195000,"16:04, 3 lutego 2021",6081909463,Firmy,Osobowe,Ford,EDGE,,2019,3 750 km,1 997 cm3,Diesel,238 KM,Automatyczna,4x4 (dołączany automatycznie),Kombi,5,5,Biały,Tak,Tak,Polska,Tak,Używane,True,True,True,,,,,True,True,True,,Tak,True,,True,,,,,,,,True,,True,,,Tak,,,,,True,,True,,,True,,,,True,,,True,True,True,,,,,True,,,,,True,,,,29/09/2020,,Tak,Tak,,True,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
9,89999,"16:03, 3 lutego 2021",6081909414,Firmy,Osobowe,Ford,Tourneo Custom,,2017,89 046 km,1 995 cm3,Diesel,130 KM,Manualna,Na przednie koła,Minivan,4,8,Szary,,,Polska,Tak,Używane,True,True,True,True,True,True,True,True,True,True,2.0 TDCi L2 Titanium,Tak,True,True,,True,True,True,True,,True,True,True,True,True,,,Tak,,True,,True,True,,True,True,,True,,True,True,True,,True,True,True,,,True,,True,True,True,,,,True,162 g/km,,,10/11/2017,CTR18698,Tak,Tak,,,,True,,,,,Tak,True,,,,,,,,,,,,,,,,,,,,,,,
