,price,offer date,ID,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Typ,Liczba miejsc,Kolor,Metalik,Perłowy,Kraj pochodzenia,Pierwsza rejestracja,Bezwypadkowy,Stan,ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Czujnik deszczu,Elektrochromatyczne lusterko wsteczne,Gniazdo AUX,Klimatyzacja dwustrefowa,Kurtyny powietrzne,Podgrzewane przednie siedzenia,Relingi dachowe,Światła Xenonowe,Wielofunkcyjna kierownica,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Czujnik zmierzchu,Elektryczne szyby tylne,Hak,Klimatyzacja manualna,Ogranicznik prędkości,Poduszki boczne przednie,Światła do jazdy dziennej,Tapicerka welurowa,Centralny zamek,Immobilizer,Radio fabryczne,ASR (kontrola trakcji),Elektrochromatyczne lusterka boczne,ESP (stabilizacja toru jazdy),Klimatyzacja automatyczna,Komputer pokładowy,Podgrzewane lusterka boczne,Przyciemniane szyby,Światła przeciwmgielne,Tempomat,Liczba drzwi,Możliwość finansowania,Faktura VAT,Leasing,Akryl (niemetalizowany),Serwisowany w ASO,Czujniki parkowania przednie,Isofix,Nawigacja GPS,Bluetooth,Czujniki parkowania tylne,Elektrycznie ustawiane fotele,Gniazdo SD,Odtwarzacz DVD,Poduszki boczne tylne,Światła LED,Tapicerka skórzana,Zmieniarka CD,Alufelgi,HUD (wyświetlacz przezierny),MP3,Podgrzewana przednia szyba,Poduszka powietrzna chroniąca kolana,Wersja,Emisja CO2,Gniazdo USB,System Start-Stop,Filtr cząstek stałych,Uszkodzony,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Pierwszy właściciel,Dach panoramiczny,Kamera cofania,Asystent parkowania,Czujnik martwego pola,Szyberdach,Klimatyzacja czterostrefowa,Łopatki zmiany biegów,VAT marża,Gwarancja dealerska (w cenie),Asystent pasa ruchu,Regulowane zawieszenie,Radio niefabryczne,Tempomat aktywny,Tuning,Podgrzewane tylne siedzenia,lub do (przebieg km),Ogrzewanie postojowe,Tuner TV,Okres gwarancji producenta,Miesięczna rata,Opłata początkowa,Liczba pozostałych rat,Homologacja ciężarowa,Kierownica po prawej (Anglik),Wartość wykupu,Matowy,VIN,Zarejestrowany jako zabytek,
0,13600,"18:59, 6 stycznia 2021",6081100913,Osoby prywatnej,Osobowe,Audi,A4,B7 (2004-2007),2006,227 000 km,1 968 cm3,Diesel,140 KM,Manualna,Na przednie koła,Kombi,5,Czarny,Tak,Tak,Niemcy,31/10/2006,Tak,Używane,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,131800,"18:37, 6 stycznia 2021",6079034961,Firmy,Osobowe,Audi,A4,B9 (2015-),2020,,1 984 cm3,Benzyna,110 KM,Automatyczna,Na przednie koła,Sedan,5,Szary,,,Polska,,Tak,Nowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Tak,Tak,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,24999,"18:25, 6 stycznia 2021",6067700019,Osoby prywatnej,Osobowe,Audi,A4,B8 (2007-2015),2008,162 333 km,1 800 cm3,Benzyna,160 KM,Automatyczna,Na przednie koła,Kombi,5,Czerwony,,,,,Tak,Używane,True,True,True,True,True,,True,True,True,True,True,True,,True,True,True,True,,True,,,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,5,,,,Tak,Tak,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,137510,"18:22, 6 stycznia 2021",6079436120,Firmy,Osobowe,Audi,A4,B9 (2015-),2020,1 km,1 984 cm3,Benzyna,150 KM,Automatyczna,Na przednie koła,Sedan,5,Biały,,,,,Tak,Nowe,True,True,True,True,True,,True,True,True,True,,,True,,True,True,True,True,True,,,True,True,True,,True,True,True,True,,True,True,True,True,True,True,True,5,Tak,Tak,Tak,Tak,,True,True,True,True,True,,True,,,True,,,True,,True,,,35 TFSI S tronic,131 g/km,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,144800,"17:01, 6 stycznia 2021",6079038583,Firmy,Osobowe,Audi,A4,B9 (2015-),2020,10 km,1 984 cm3,Benzyna,150 KM,Automatyczna,Na przednie koła,Sedan,5,Czarny,Tak,,Polska,,Tak,Nowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,Tak,,,,,,,,,,,,,,,,,,,,,35 TFSI S Line S tronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,144800,"17:01, 6 stycznia 2021",6079038571,Firmy,Osobowe,Audi,A4,B9 (2015-),2020,10 km,1 984 cm3,Benzyna,150 KM,Automatyczna,Na przednie koła,Sedan,5,Szary,Tak,,Polska,,Tak,Nowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,Tak,,,,,,,,,,,,,,,,,,,,,35 TFSI S Line S tronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,19900,"16:44, 6 stycznia 2021",6080985308,Osoby prywatnej,Osobowe,Audi,A4,B8 (2007-2015),2008,236 219 km,1 968 cm3,Diesel,143 KM,Manualna,Na przednie koła,Sedan,5,Inny kolor,Tak,,,,,Używane,True,True,,True,True,True,True,True,,True,,True,True,True,True,,True,True,True,,,True,,True,,True,True,True,True,True,True,True,,True,,True,True,4,,,,,,,,,True,True,,True,,,True,True,,True,,True,,,2.0 TDI DPF,131 g/km,,,Tak,Tak,PCT59681,Tak,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,30999,"16:38, 6 stycznia 2021",6080985283,Osoby prywatnej,Osobowe,Audi,A4,B8 (2007-2015),2010,231 000 km,1 968 cm3,Diesel,143 KM,Manualna,Na przednie koła,Kombi,5,Inny kolor,Tak,,Niemcy,,Tak,Używane,True,True,True,True,True,True,True,True,,True,True,,True,True,True,True,,True,True,,,True,True,,True,True,True,True,,,True,True,True,True,True,True,True,5,Tak,,,,Tak,True,True,True,True,True,,True,,,,,,,,,,,2.0 TDI,124 g/km,True,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,15800,"16:32, 6 stycznia 2021",6079492257,Osoby prywatnej,Osobowe,Audi,A4,B7 (2004-2007),2008,238 000 km,1 984 cm3,Benzyna,130 KM,Manualna,Na przednie koła,Kombi,5,Czarny,Tak,,,,,Używane,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,,True,True,,,True,True,True,True,True,True,True,True,True,,True,True,5,Tak,,,,,,True,True,,,,,,,,,True,True,,True,,,Avant 2.0,,,,,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12999,"16:29, 6 stycznia 2021",6080985152,Osoby prywatnej,Osobowe,Audi,A4,B6 (2000-2004),2001,142 000 km,2 976 cm3,Benzyna,221 KM,Automatyczna,Na przednie koła,Sedan,5,Czarny,Tak,,Niemcy,,Tak,Używane,True,True,True,True,,True,,True,,,,,,,True,True,,,True,,,,True,,True,True,True,True,,,True,True,True,True,,True,,4,Tak,,,,Tak,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
