,price,offer date,ID,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Emisja CO2,Typ,Liczba drzwi,Liczba miejsc,Kolor,Metalik,Możliwość finansowania,Faktura VAT,Kraj pochodzenia,Pierwsza rejestracja,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Pierwszy właściciel,Serwisowany w ASO,Stan,ABS,Poduszka powietrzna kierowcy,Bluetooth,Klimatyzacja automatyczna,Tempomat,Centralny zamek,Wspomaganie kierownicy,Czujnik deszczu,System Start-Stop,Immobilizer,Alarm,Elektrochromatyczne lusterko wsteczne,Światła LED,VAT marża,Gwarancja dealerska (w cenie),Elektryczne szyby przednie,Czujniki parkowania przednie,Elektryczne szyby tylne,Gniazdo SD,Kurtyny powietrzne,Podgrzewane lusterka boczne,Przyciemniane szyby,Światła do jazdy dziennej,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alufelgi,Czujniki parkowania tylne,ESP (stabilizacja toru jazdy),Gniazdo USB,Klimatyzacja dwustrefowa,MP3,Podgrzewane przednie siedzenia,Relingi dachowe,Wielofunkcyjna kierownica,Radio fabryczne,ASR (kontrola trakcji),Czujnik zmierzchu,Gniazdo AUX,Isofix,Komputer pokładowy,Ogranicznik prędkości,Poduszki boczne przednie,Światła Xenonowe,Tapicerka welurowa,Filtr cząstek stałych,Bezwypadkowy,Asystent parkowania,Klimatyzacja czterostrefowa,Poduszki boczne tylne,Elektrycznie ustawiane fotele,Kamera cofania,Nawigacja GPS,Poduszka powietrzna chroniąca kolana,Światła przeciwmgielne,Odtwarzacz DVD,Podgrzewane tylne siedzenia,Szyberdach,Tapicerka skórzana,Elektrochromatyczne lusterka boczne,Hak,Tempomat aktywny,Podgrzewana przednia szyba,Łopatki zmiany biegów,Zmieniarka CD,Klimatyzacja manualna,Leasing,Asystent pasa ruchu,Czujnik martwego pola,Dach panoramiczny,Perłowy,Kierownica po prawej (Anglik),Ogrzewanie postojowe,Uszkodzony,Okres gwarancji producenta,lub do (przebieg km),Regulowane zawieszenie,Akryl (niemetalizowany),HUD (wyświetlacz przezierny),Tuner TV,Radio niefabryczne,Opłata początkowa,Miesięczna rata,Liczba pozostałych rat,Wartość wykupu,Tuning,VIN,Matowy,Homologacja ciężarowa,Zarejestrowany jako zabytek
0,208900,"12:58, 7 lutego 2021",6077679428,Firmy,Osobowe,Audi,Q7,3.0 TDI ultra Quattro Tiptronic,II (2015-),2018,49 041 km,2 967 cm3,Diesel,218 KM,Automatyczna,4x4 (stały),144 g/km,SUV,5,5,Inny kolor,Tak,Tak,Tak,Polska,26/07/2018,DW5Y845,Tak,Tak,Tak,Używane,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,75900,"12:57, 7 lutego 2021",6081281833,Firmy,Osobowe,Audi,A4,1.4 TFSI Sport,B9 (2015-),2017,34 000 km,1 395 cm3,Benzyna,150 KM,Manualna,Na przednie koła,128 g/km,Kombi,5,5,Biały,,,,Niemcy,29/11/2017,,,Tak,,Używane,True,True,True,True,True,True,True,True,True,True,,True,True,Tak,6 miesięcy,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,49999,"12:56, 7 lutego 2021",6082095735,Osoby prywatnej,Osobowe,Audi,A6,Avant 2.0 TDI DPF multitronic,C7 (2011-2018),2013,189 000 km,1 968 cm3,Diesel,177 KM,Automatyczna,Na przednie koła,135 g/km,Kombi,5,5,Czarny,Tak,,,,,,Tak,,,Używane,True,True,True,True,True,True,True,True,True,True,,,True,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,,True,True,True,True,True,True,True,,True,True,,Tak,Tak,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,21900,"12:56, 7 lutego 2021",6080441198,Osoby prywatnej,Osobowe,Audi,A3,1.8T FSI Ambiente,8P (2003-2012),2007,147 000 km,1 798 cm3,Benzyna,160 KM,Manualna,Na przednie koła,176 g/km,Kompakt,5,5,Czarny,,Tak,,,09/05/2007,GD299EW,,,,Używane,True,True,True,True,True,True,True,True,,True,True,,,,,True,,True,True,,True,,True,True,True,True,True,,True,True,True,True,True,,,True,True,,True,True,True,,True,True,True,,,,,True,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,35000,"12:56, 7 lutego 2021",6080504363,Firmy,Osobowe,Audi,A5,2.7 TDI Multitronic,8T (2007-2016),2007,229 500 km,2 698 cm3,Diesel,190 KM,Automatyczna,Na przednie koła,167 g/km,Coupe,2,4,Szary,Tak,,,,,OOL51S7,Tak,,,Używane,True,True,,True,True,True,True,True,,True,,True,,Tak,,True,,,,,,,True,True,True,True,True,True,True,,True,,True,,,True,True,True,,True,True,True,,,,,,,,,True,,,,True,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,34500,"12:55, 7 lutego 2021",6076990687,Osoby prywatnej,Osobowe,Audi,A4,2.0 TDI,B8 (2007-2015),2011,201 000 km,1 968 cm3,Diesel,120 KM,Manualna,Na przednie koła,,Kombi,5,5,Inny kolor,Tak,Tak,,Austria,,,Tak,,,Używane,True,True,,,,True,True,True,True,True,True,True,,,,True,True,True,,,True,,True,True,True,True,True,True,True,True,True,,True,True,True,True,,True,True,,True,True,True,,True,,,,,True,,,,True,True,,,,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,94900,"12:55, 7 lutego 2021",6080711609,Osoby prywatnej,Osobowe,Audi,Q5,2.0 TDI clean diesel Quattro S tronic,8R (2008-2016),2016,132 600 km,1 968 cm3,Diesel,190 KM,Automatyczna,4x4 (stały),149 g/km,SUV,5,5,Niebieski,Tak,,Tak,,,GDA39300,Tak,Tak,Tak,Używane,True,True,,True,True,True,,,True,True,,,True,,,True,,,,,,True,True,True,True,True,,,,,,,True,True,True,True,,,True,,,,,,,,Tak,,,,,,,,True,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,93900,"12:55, 7 lutego 2021",6080680947,Firmy,Osobowe,Audi,A5,1.8 TFSI Sportback multitronic,8T (2007-2016),2016,70 615 km,1 798 cm3,Benzyna,177 KM,Automatyczna,Na przednie koła,136 g/km,Coupe,5,4,Szary,,,,,08/07/2016,,,,,Używane,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,True,True,True,True,True,True,,True,True,,,,,,True,,True,,True,,,True,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
8,21600,"12:54, 7 lutego 2021",6079705280,Osoby prywatnej,Osobowe,Audi,A3,,8P (2003-2012),2008,283 000 km,1 896 cm3,Diesel,105 KM,Automatyczna,Na przednie koła,,Kompakt,5,5,Srebrny,Tak,,,,,,Tak,,Tak,Używane,True,True,,True,True,True,True,True,,True,True,,,,,True,,True,,True,,,,True,True,True,True,,True,,True,,,,,True,True,,,True,True,,True,,True,,,,,True,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,17500,"12:51, 7 lutego 2021",6082095686,Osoby prywatnej,Osobowe,Audi,A6,2.0 TDI,C6 (2004-2011),2004,298 000 km,1 968 cm3,Diesel,140 KM,Manualna,Na przednie koła,,Sedan,4,5,Czarny,,,,,04/11/2004,OK69394,,,,Używane,True,True,True,True,True,True,True,True,,True,True,True,,,,True,True,True,,,True,True,True,True,True,True,True,True,True,,True,,True,,True,True,True,True,,,True,True,True,True,,,,True,,,True,,,,True,,,True,True,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,
