,price,offer date,ID,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Typ,Liczba drzwi,Liczba miejsc,Kolor,Metalik,Kraj pochodzenia,Numer rejestracyjny pojazdu,Bezwypadkowy,Serwisowany w ASO,Stan,Klimatyzacja manualna,Emisja CO2,Zarejestrowany w Polsce,Pierwszy właściciel,ABS,Elektryczne szyby przednie,Poduszka powietrzna pasażera,Alarm,ESP (stabilizacja toru jazdy),Podgrzewana przednia szyba,Poduszki boczne przednie,Światła do jazdy dziennej,Tapicerka welurowa,CD,Immobilizer,Radio fabryczne,Bluetooth,Gniazdo AUX,Komputer pokładowy,Podgrzewane lusterka boczne,Poduszki boczne tylne,Światła LED,Tempomat,Centralny zamek,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Czujniki parkowania tylne,Isofix,Kurtyny powietrzne,Podgrzewane przednie siedzenia,Przyciemniane szyby,Światła przeciwmgielne,Wielofunkcyjna kierownica,VAT marża,Pierwsza rejestracja,Elektrycznie ustawiane lusterka,Poduszka powietrzna chroniąca kolana,Możliwość finansowania,Faktura VAT,Asystent pasa ruchu,Czujniki parkowania przednie,Klimatyzacja automatyczna,Łopatki zmiany biegów,Alufelgi,Czujnik deszczu,Elektryczne szyby tylne,Klimatyzacja dwustrefowa,MP3,System Start-Stop,Asystent parkowania,Czujnik zmierzchu,Elektrochromatyczne lusterko wsteczne,Gniazdo USB,Kamera cofania,Filtr cząstek stałych,Perłowy,Leasing,Hak,Ogranicznik prędkości,Światła Xenonowe,Gniazdo SD,Nawigacja GPS,ASR (kontrola trakcji),Elektrochromatyczne lusterka boczne,Odtwarzacz DVD,Relingi dachowe,Gwarancja dealerska (w cenie),Elektrycznie ustawiane fotele,Czujnik martwego pola,Podgrzewane tylne siedzenia,Tempomat aktywny,Tuner TV,Tapicerka skórzana,Miesięczna rata,Dach panoramiczny,Uszkodzony,Szyberdach,lub do (przebieg km),Klimatyzacja czterostrefowa,Ogrzewanie postojowe,Zmieniarka CD,Akryl (niemetalizowany),Radio niefabryczne,Regulowane zawieszenie,HUD (wyświetlacz przezierny),Matowy,Homologacja ciężarowa,Okres gwarancji producenta,Tuning,Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,Kierownica po prawej (Anglik),Zarejestrowany jako zabytek,VIN
0,1599,"16:05, 7 lutego 2021",6082098171,Osoby prywatnej,Osobowe,Ford,Focus,1.6 FX,Mk1 (1998-2004),2000,215 000 km,1 596 cm3,Benzyna,100 KM,Manualna,Na przednie koła,Sedan,4,5,Bordowy,Tak,Niemcy,EERT456,Tak,Tak,Używane,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,58900,"16:05, 7 lutego 2021",6081720044,Firmy,Osobowe,Ford,C-MAX,1.6 Trend,II (2010-),2017,32 600 km,1 596 cm3,Benzyna,125 KM,Manualna,Na przednie koła,Minivan,5,5,Brązowy,,Polska,,Tak,Tak,Używane,True,149 g/km,Tak,Tak,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18900,"16:05, 7 lutego 2021",6082098163,Osoby prywatnej,Osobowe,Ford,Mondeo,1.6 Ambiente,Mk4 (2007-2014),2009,127 830 km,1 596 cm3,Benzyna,110 KM,Manualna,Na przednie koła,Kombi,5,5,Niebieski,Tak,Niemcy,,,,Używane,True,172 g/km,,,True,True,True,True,True,,,,,True,True,True,,,True,,,,,True,True,True,True,True,True,,,,,Tak,06/01/2009,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,54900,"16:05, 7 lutego 2021",6079221209,Firmy,Osobowe,Ford,Mondeo,,Mk5 (2014-),2015,158 300 km,1 999 cm3,Benzyna,203 KM,Automatyczna,Na przednie koła,Kompakt,5,5,Czarny,Tak,Polska,FZ0537P,,Tak,Używane,,,Tak,Tak,True,True,True,,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,True,True,True,True,True,True,,True,True,,23/06/2015,True,True,Tak,Tak,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,18900,"16:04, 7 lutego 2021",6081292495,Firmy,Osobowe,Ford,Mondeo,2.0 TDCi Titanium,Mk4 (2007-2014),2007,250 000 km,1 997 cm3,Diesel,140 KM,Manualna,Na przednie koła,Kombi,5,5,Szary,Tak,Niemcy,SWD62847,Tak,Tak,Używane,,6 g/km,Tak,,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Tak,,True,True,Tak,,,True,True,,True,True,True,True,True,,,True,True,True,,Tak,Tak,Tak,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8999,"16:02, 7 lutego 2021",6079273700,Osoby prywatnej,Osobowe,Ford,Focus,1.6 Ambiente,Mk2 (2004-2011),2006,232 345 km,1 596 cm3,Benzyna,100 KM,Manualna,Na przednie koła,Kompakt,5,5,Srebrny,Tak,Niemcy,,Tak,Tak,Używane,True,,,,True,True,True,True,,,,,True,True,True,True,,True,,True,,,,True,True,True,,,,,,True,True,,10/05/2006,True,,Tak,,,,,,,,,,,,,,,,,,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,30900,"16:02, 7 lutego 2021",6078574799,Firmy,Osobowe,Ford,Galaxy,2.0 TDCi Ghia,Mk2 (2006-2015),2011,208 000 km,1 997 cm3,Diesel,163 KM,Manualna,Na przednie koła,Minivan,5,7,Czarny,Tak,Niemcy,,,Tak,Używane,,152 g/km,,Tak,True,True,True,True,True,,True,,True,True,True,True,,True,True,True,,,,True,True,True,,True,True,,,True,True,Tak,27/04/2011,True,True,Tak,,,,True,,,,True,True,True,,,,,,,,,,True,,,,,True,,,True,3 miesięcy,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,87900,"16:02, 7 lutego 2021",6082097436,Osoby prywatnej,Osobowe,Ford,Mondeo,,Mk5 (2014-),2019,16 670 km,1 995 cm3,Diesel,150 KM,Manualna,Na przednie koła,Kombi,5,5,Srebrny,Tak,Polska,KR2KT63,Tak,Tak,Używane,,116 g/km,Tak,Tak,True,True,True,,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,26/04/2019,True,True,,,,True,True,,True,True,True,True,True,True,,True,True,True,True,Tak,,,,True,,True,True,True,True,True,True,,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,
8,29500,"16:01, 7 lutego 2021",6081292281,Firmy,Osobowe,Ford,Fiesta,1.25 Trend,Mk7 (2008-),2014,51 266 km,1 242 cm3,Benzyna,60 KM,Manualna,Na przednie koła,Kompakt,5,5,Biały,Tak,Polska,,Tak,Tak,Używane,True,120 g/km,Tak,Tak,True,True,True,,,,True,True,,True,True,True,True,True,True,,,,,True,True,True,,True,True,,,,True,Tak,18/07/2014,True,True,Tak,,,,,,,,,,True,,,,,True,,,,,,,,,,True,,,,12 miesięcy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,23900,"16:00, 7 lutego 2021",6081544930,Osoby prywatnej,Osobowe,Ford,Focus,1.0 EcoBoost Start-Stopp-System,Mk3 (2010-),2014,171 200 km,998 cm3,Benzyna,125 KM,Manualna,Na przednie koła,Kompakt,5,5,Srebrny,Tak,Polska,WT64480,Tak,Tak,Używane,True,114 g/km,Tak,,True,True,True,True,True,True,,True,,True,True,True,,,True,True,,,True,True,True,True,True,,True,,,True,,,30/05/2014,True,,,Tak,,True,,,True,True,True,,,True,True,True,,,,Tak,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
