,price,offer date,ID,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Emisja CO2,Typ,Liczba drzwi,Liczba miejsc,Kolor,Perłowy,Kraj pochodzenia,Pierwsza rejestracja,Zarejestrowany w Polsce,Pierwszy właściciel,Bezwypadkowy,Serwisowany w ASO,Stan,ABS,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Asystent parkowania,Czujnik deszczu,Czujniki parkowania przednie,Elektryczne szyby tylne,Gniazdo AUX,Isofix,Klimatyzacja dwustrefowa,MP3,Podgrzewane przednie siedzenia,Poduszki boczne tylne,System Start-Stop,Światła przeciwmgielne,Tempomat aktywny,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Asystent pasa ruchu,Czujnik martwego pola,Czujniki parkowania tylne,Elektrycznie ustawiane fotele,Gniazdo SD,Kamera cofania,Komputer pokładowy,Nawigacja GPS,Poduszka powietrzna chroniąca kolana,Przyciemniane szyby,Światła do jazdy dziennej,Tapicerka skórzana,Wielofunkcyjna kierownica,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Bluetooth,Czujnik zmierzchu,Elektrochromatyczne lusterko wsteczne,ESP (stabilizacja toru jazdy),Gniazdo USB,Klimatyzacja automatyczna,Kurtyny powietrzne,Podgrzewane lusterka boczne,Poduszki boczne przednie,Relingi dachowe,Światła LED,Tempomat,Metalik,Możliwość finansowania,CD,Tapicerka welurowa,Hak,Podgrzewana przednia szyba,Zmieniarka CD,HUD (wyświetlacz przezierny),Ogranicznik prędkości,Odtwarzacz DVD,Faktura VAT,VAT marża,Łopatki zmiany biegów,Elektrochromatyczne lusterka boczne,Światła Xenonowe,Klimatyzacja manualna,Numer rejestracyjny pojazdu,Leasing,Miesięczna rata,Okres gwarancji producenta,Gwarancja dealerska (w cenie),Szyberdach,Klimatyzacja czterostrefowa,Dach panoramiczny,lub do (przebieg km),Tuner TV,Akryl (niemetalizowany),Regulowane zawieszenie,Filtr cząstek stałych,Radio niefabryczne,Matowy,Uszkodzony,Ogrzewanie postojowe,Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,Tuning,Homologacja ciężarowa,Podgrzewane tylne siedzenia,Zarejestrowany jako zabytek,Kierownica po prawej (Anglik),VIN,Warranty if agreed with the buyer
0,98900,"13:47, 7 lutego 2021",6081825001,Osoby prywatnej,Osobowe,Toyota,RAV4,2.0 Prestige 4x4,IV (2012-2018),2016,76 000 km,1 987 cm3,Benzyna,152 KM,Manualna,4x4 (dołączany automatycznie),169 g/km,SUV,5,5,Biały,Tak,Polska,22/11/2016,Tak,Tak,Tak,Tak,Używane,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27500,"13:15, 7 lutego 2021",6080118040,Osoby prywatnej,Osobowe,Toyota,Avensis,1.8 Sol plus,III (2009-),2009,207 000 km,1 798 cm3,Benzyna+LPG,147 KM,Manualna,Na przednie koła,154 g/km,Kombi,4,5,Srebrny,,,01/02/2009,Tak,,,Tak,Używane,True,True,True,True,,True,,True,True,,True,,,,,True,,True,True,True,True,,,,,,,True,,True,True,,,True,True,True,True,True,True,,,True,True,True,,True,True,True,,,Tak,Tak,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7900,"13:04, 7 lutego 2021",6081822315,Osoby prywatnej,Osobowe,Toyota,Avensis,2.0 D-4D Prestige,II (2003-2009),2004,362 000 km,1 995 cm3,Diesel,116 KM,Manualna,Na przednie koła,,Kombi,5,5,Srebrny,,,28/07/2004,Tak,,,,Używane,True,True,True,,,True,,True,,,,,,True,,,,True,,True,True,,,,,,,True,,True,True,,,True,True,True,True,,,,True,,,True,True,True,True,True,,,Tak,,True,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13200,"13:03, 7 lutego 2021",6080109345,Osoby prywatnej,Osobowe,Toyota,Avensis,2.0 D-4D Sol,II (2003-2009),2006,318 000 km,1 998 cm3,Diesel,126 KM,Manualna,Na przednie koła,149 g/km,Kombi,5,5,Inny kolor,,,30/10/2006,,Tak,Tak,,Używane,True,True,,True,,True,,True,,True,True,True,,,,,,,True,True,,,,,,,,True,,,True,,,True,True,,,,,,True,,,,,True,,,,,Tak,Tak,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,45000,"12:59, 7 lutego 2021",6079909429,Osoby prywatnej,Osobowe,Toyota,Auris,,II (2012-),2017,32 822 km,1 197 cm3,Benzyna,116 KM,Manualna,Na przednie koła,,Kompakt,5,5,Brązowy,,,,,,,,Używane,True,True,True,True,True,True,True,True,True,True,,True,True,,True,True,,True,True,True,True,True,,True,,,True,True,True,True,,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,,,True,,Tak,True,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,112777,"12:59, 7 lutego 2021",6082095757,Osoby prywatnej,Osobowe,Toyota,C-HR,1.8 Hybrid Selection,,2020,13 570 km,1 798 cm3,Hybryda,98 KM,Automatyczna,Na przednie koła,,SUV,5,5,Czerwony,,,09/04/2020,Tak,Tak,Tak,Tak,Używane,True,True,True,,,True,True,True,True,True,True,True,True,True,,True,True,True,,True,,True,True,True,True,,True,True,,,True,True,True,True,True,True,True,,True,True,,True,True,True,,True,True,,True,True,,Tak,,,,True,,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,36900,"12:57, 7 lutego 2021",6082095316,Firmy,Osobowe,Toyota,Avensis,2.0 Prestige NAVI MS,III (2009-),2012,220 000 km,1 987 cm3,Benzyna,152 KM,Automatyczna,Na przednie koła,164 g/km,Sedan,4,5,Bordowy,,Polska,16/08/2012,Tak,,Tak,Tak,Używane,True,True,True,True,,True,,True,True,True,True,True,True,True,True,True,,True,True,True,True,,,,,,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,Tak,,True,,,,,,True,,,Tak,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,22900,"12:46, 7 lutego 2021",6082095621,Osoby prywatnej,Osobowe,Toyota,RAV4,2.2 D-4D Luna,III (2006-2012),2007,276 000 km,2 231 cm3,Diesel,136 KM,Manualna,4x4 (dołączany automatycznie),173 g/km,SUV,5,5,Inny kolor,,,,Tak,,,,Używane,True,True,,,,,,True,,,,True,,,,,,True,True,True,,,,,,,,,,,,,,,True,True,True,True,,,,,,True,,,,,,True,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,24500,"12:43, 7 lutego 2021",6082095518,Osoby prywatnej,Osobowe,Toyota,Avensis,2.0 Prestige MS,III (2009-),2009,329 000 km,1 987 cm3,Benzyna+LPG,152 KM,Automatyczna,Na przednie koła,165 g/km,Sedan,5,5,Czarny,,Polska,02/10/2009,Tak,,,Tak,Używane,True,True,True,True,,True,True,True,True,True,True,True,True,True,,True,,True,True,True,True,,,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,,,True,Tak,,True,,,,,,,,,,True,True,True,,WU5726A,,,,,,,,,,,,,,,,,,,,,,,,,,
9,13900,"12:34, 7 lutego 2021",6082095354,Osoby prywatnej,Osobowe,Toyota,Avensis,,II (2003-2009),2004,205 000 km,,Benzyna,,,,,Kombi,,,Czarny,,,,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
