,price,offer date,ID,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Typ,Liczba drzwi,Liczba miejsc,Kolor,Metalik,Pierwsza rejestracja,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Stan,ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Elektrochromatyczne lusterko wsteczne,Hak,Komputer pokładowy,Podgrzewane przednie siedzenia,Światła przeciwmgielne,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Czujnik deszczu,Elektryczne szyby tylne,Isofix,Kurtyny powietrzne,Poduszki boczne tylne,Wielofunkcyjna kierownica,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Czujnik zmierzchu,ESP (stabilizacja toru jazdy),Klimatyzacja automatyczna,Podgrzewane lusterka boczne,Relingi dachowe,Emisja CO2,Pierwszy właściciel,Bezwypadkowy,Gniazdo AUX,Ogranicznik prędkości,Poduszki boczne przednie,Światła LED,Bluetooth,Czujniki parkowania przednie,Gniazdo USB,Klimatyzacja dwustrefowa,MP3,System Start-Stop,Czujniki parkowania tylne,Nawigacja GPS,Poduszka powietrzna chroniąca kolana,Przyciemniane szyby,Światła do jazdy dziennej,Tempomat,Kraj pochodzenia,Klimatyzacja manualna,VAT marża,Możliwość finansowania,Serwisowany w ASO,Elektrochromatyczne lusterka boczne,Elektrycznie ustawiane fotele,Gniazdo SD,Tapicerka skórzana,Światła Xenonowe,Akryl (niemetalizowany),Odtwarzacz DVD,Radio niefabryczne,Tapicerka welurowa,VIN,Perłowy,Kamera cofania,Leasing,Dach panoramiczny,HUD (wyświetlacz przezierny),Asystent parkowania,Regulowane zawieszenie,Szyberdach,Zmieniarka CD,Asystent pasa ruchu,Czujnik martwego pola,Podgrzewana przednia szyba,Podgrzewane tylne siedzenia,Tempomat aktywny,Faktura VAT,Uszkodzony,Łopatki zmiany biegów,Gwarancja dealerska (w cenie),Tuning,Okres gwarancji producenta,Klimatyzacja czterostrefowa,lub do (przebieg km),Miesięczna rata,Filtr cząstek stałych,Tuner TV,Ogrzewanie postojowe,Homologacja ciężarowa,Matowy,Zarejestrowany jako zabytek,Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,Kierownica po prawej (Anglik),Warranty if agreed with the buyer,
0,13900,"16:12, 7 lutego 2021",6082097695,Osoby prywatnej,Osobowe,Renault,Grand Scenic,Gr 2.0 Confort Expression,II (2003-2009),2007,170 901 km,1 998 cm3,Benzyna+LPG,136 KM,Manualna,Na przednie koła,Minivan,5,5,Czarny,Tak,30/01/2007,WF4482N,Tak,Używane,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,41900,"16:10, 7 lutego 2021",6081720278,Osoby prywatnej,Osobowe,Renault,Grand Scenic,,IV (2013-),2018,190 000 km,1 461 cm3,Diesel,110 KM,Automatyczna,Na przednie koła,Minivan,5,7,Biały,,,XXXXXX,,Używane,True,True,True,True,True,True,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,104 g/km,Tak,Tak,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,22000,"16:09, 7 lutego 2021",6072167130,Osoby prywatnej,Osobowe,Renault,Twingo,SCe 70 Intens,III (2014-),2014,39 000 km,999 cm3,Benzyna,70 KM,Manualna,Na tylne koła,Auta małe,5,5,Biały,,20/03/2015,PCT 72221,Tak,Używane,True,True,True,True,True,,,True,,,,,True,,,,True,,,True,True,True,True,,,True,,,,,,,,True,True,True,True,,True,,True,,,,,,True,True,Polska,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16900,"16:08, 7 lutego 2021",6081468145,Firmy,Osobowe,Renault,Espace,2.0 dCi Privilege,IV (2003-2014),2009,275 150 km,1 995 cm3,Diesel,150 KM,Manualna,Na przednie koła,Minivan,5,7,Szary,Tak,,,,Używane,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,,True,True,True,True,True,True,,True,True,True,,197 g/km,Tak,Tak,True,,True,,True,True,,True,True,True,True,True,,,,True,Austria,,Tak,Tak,Tak,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,29500,"16:08, 7 lutego 2021",6081377568,Osoby prywatnej,Osobowe,Renault,Trafic,2.5 dCi 150 FAP Passenger L2H1,II (2001-2014),2009,339 000 km,2 464 cm3,Diesel,146 KM,Manualna,Na przednie koła,Minivan,4,9,Biały,,30/07/2009,,Tak,Używane,True,True,True,True,True,,True,True,,True,True,True,True,,True,,True,True,True,True,True,True,True,,True,True,,True,,232 g/km,,Tak,True,True,True,,True,,True,,True,,,True,,True,True,True,Niemcy,True,,,Tak,,,True,,,Tak,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6600,"16:07, 7 lutego 2021",6082098093,Osoby prywatnej,Osobowe,Renault,Kangoo,,I (1998-2008),2007,331 000 km,,Diesel,,,,Minivan,,,Biały,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VF1KCTEEF38522303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,32500,"16:07, 7 lutego 2021",6081720058,Osoby prywatnej,Osobowe,Renault,Captur,1.5 dCi Energy Intens EU6,I (2013-2019),2015,117 000 km,1 461 cm3,Diesel,90 KM,Manualna,Na przednie koła,SUV,5,5,Szary,Tak,,,Tak,Używane,True,True,True,True,True,,,True,,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,,,95 g/km,Tak,,True,,True,True,True,,True,,True,True,True,True,True,True,True,True,,,,,,,,True,,,,,,,,Tak,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,77900,"16:06, 7 lutego 2021",6081291413,Firmy,Osobowe,Renault,Talisman,1.6 Energy dCi Initiale Paris EDC,,2018,139 867 km,1 598 cm3,Diesel,160 KM,Automatyczna,Na przednie koła,Kombi,5,5,Biały,Tak,,,,Używane,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,117 g/km,Tak,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,Tak,Tak,Tak,True,True,True,True,True,,True,,,,Tak,True,Tak,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,
8,24900,"16:05, 7 lutego 2021",6081377455,Firmy,Osobowe,Renault,Koleos,2.0 dCi 4x4 Dynamique,,2009,159 000 km,1 995 cm3,Diesel,150 KM,Manualna,4x4 (dołączany automatycznie),SUV,5,5,Szary,Tak,,,,Używane,True,True,True,True,True,,True,True,,True,True,True,True,,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,197 g/km,Tak,Tak,True,True,True,,True,True,True,True,True,,True,True,,True,,,Niemcy,,Tak,,,,,,,,,,,,,,,,,,,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,
9,20900,"16:04, 7 lutego 2021",6077282463,Osoby prywatnej,Osobowe,Renault,Megane,1.6 16V Dynamique,III (2008-2016),2009,110 000 km,1 598 cm3,Benzyna,110 KM,Manualna,Na przednie koła,Coupe,3,5,Czarny,Tak,02/05/2018,,,Używane,True,True,True,True,True,True,,,,True,True,True,True,True,True,,,,,True,True,,True,True,True,True,,,,163 g/km,,Tak,True,,,,,True,,,,,True,,,True,True,True,Francja,True,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
