,price,offer date,ID,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Emisja CO2,Typ,Liczba drzwi,Liczba miejsc,Kolor,Metalik,VAT marża,Pierwszy właściciel,Bezwypadkowy,Serwisowany w ASO,Stan,ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Czujnik deszczu,ESP (stabilizacja toru jazdy),Hak,Klimatyzacja automatyczna,Kurtyny powietrzne,Odtwarzacz DVD,Podgrzewane lusterka boczne,Poduszki boczne tylne,Światła do jazdy dziennej,Wielofunkcyjna kierownica,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Asystent parkowania,Czujnik zmierzchu,Gniazdo AUX,Isofix,Klimatyzacja dwustrefowa,MP3,Ogranicznik prędkości,Poduszka powietrzna chroniąca kolana,Przyciemniane szyby,Światła przeciwmgielne,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Bluetooth,Elektryczne szyby tylne,Gniazdo SD,Kamera cofania,Komputer pokładowy,Nawigacja GPS,Podgrzewana przednia szyba,Poduszki boczne przednie,System Start-Stop,Tempomat,Możliwość finansowania,Faktura VAT,Leasing,Kraj pochodzenia,Pierwsza rejestracja,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Elektrochromatyczne lusterko wsteczne,Czujniki parkowania przednie,Podgrzewane przednie siedzenia,Czujniki parkowania tylne,Gniazdo USB,Klimatyzacja manualna,Filtr cząstek stałych,Tapicerka welurowa,Światła LED,Dach panoramiczny,Relingi dachowe,Elektrochromatyczne lusterka boczne,Elektrycznie ustawiane fotele,Łopatki zmiany biegów,Asystent pasa ruchu,Czujnik martwego pola,Światła Xenonowe,Tempomat aktywny,Perłowy,Tuning,Tapicerka skórzana,Regulowane zawieszenie,Tuner TV,Uszkodzony,Okres gwarancji producenta,lub do (przebieg km),Podgrzewane tylne siedzenia,HUD (wyświetlacz przezierny),Klimatyzacja czterostrefowa,Zmieniarka CD,Szyberdach,Ogrzewanie postojowe,Radio niefabryczne,Gwarancja dealerska (w cenie),VIN,Akryl (niemetalizowany),Miesięczna rata,Matowy,Homologacja ciężarowa,Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,Zarejestrowany jako zabytek,Kierownica po prawej (Anglik)
0,24900,"22:21, 5 lutego 2021",6081649248,Osoby prywatnej,Osobowe,Ford,Focus,1.6 TDCi DPF Start-Stopp-System,Mk3 (2010-),2012,188 607 km,1 560 cm3,Diesel,115 KM,Manualna,Na przednie koła,109 g/km,Kombi,5,5,Inny kolor,Tak,Tak,Tak,Tak,Tak,Używane,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,54300,"22:20, 5 lutego 2021",6081794087,Firmy,Osobowe,Ford,Mondeo,2.0 TDCi Edition,Mk5 (2014-),2016,123 868 km,1 997 cm3,Diesel,150 KM,Manualna,Na przednie koła,109 g/km,Sedan,5,5,Szary,Tak,,Tak,Tak,Tak,Używane,True,True,True,True,True,,True,,True,True,,True,,True,True,True,True,True,,,,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,Tak,Tak,Tak,Polska,20/05/2016,SM81936,Tak,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5900,"22:20, 5 lutego 2021",6082035963,Osoby prywatnej,Osobowe,Ford,Fiesta,1.4 Ambiente,Mk6 (2002-2008),2006,218 000 km,1 388 cm3,Benzyna,80 KM,Manualna,Na przednie koła,154 g/km,Auta miejskie,5,5,Srebrny,Tak,,,,,Używane,True,True,True,True,,,,,,,,,,,,True,,True,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,38000,"22:20, 5 lutego 2021",6081649003,Osoby prywatnej,Osobowe,Ford,Mondeo,,Mk5 (2014-),2014,245 000 km,1 997 cm3,Diesel,150 KM,Manualna,Na przednie koła,115 g/km,Kombi,5,5,Czarny,Tak,,Tak,Tak,Tak,Używane,True,True,True,True,True,,True,True,True,True,,True,True,True,True,True,True,True,,True,,True,True,True,True,,True,,True,True,True,True,True,True,True,True,,True,True,True,True,True,,,,,,20/01/2015,PP1646M,Tak,True,True,True,True,True,,Tak,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20900,"22:20, 5 lutego 2021",6082035388,Osoby prywatnej,Osobowe,Ford,Mondeo,1.8 TDCi Ghia,Mk4 (2007-2014),2010,275 276 km,1 753 cm3,Diesel,125 KM,Manualna,Na przednie koła,,Sedan,5,5,Szary,Tak,,,Tak,,Używane,True,True,True,True,,,,,True,,,,,,True,True,True,True,True,,,,True,True,,,,,,True,True,True,,True,True,,,True,,True,,,,,,,,23/04/2010,,Tak,,,,,True,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,24900,"22:19, 5 lutego 2021",6080945695,Osoby prywatnej,Osobowe,Ford,Focus,,Mk2 (2004-2011),2006,243 051 km,2 521 cm3,Benzyna,222 KM,Manualna,Na przednie koła,,Kompakt,5,5,Niebieski,Tak,,,Tak,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tak,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,68900,"22:19, 5 lutego 2021",6081388159,Firmy,Osobowe,Ford,S-Max,2.0 TDCi Titanium PowerShift,II (2015-),2016,165 000 km,1 997 cm3,Diesel,180 KM,Automatyczna,Na przednie koła,6 g/km,Minivan,5,5,Biały,Tak,Tak,Tak,Tak,Tak,Używane,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Tak,,Tak,Niemcy,,,,True,True,True,True,True,,Tak,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
7,32900,"22:18, 5 lutego 2021",6080670773,Firmy,Osobowe,Ford,C-MAX,1.0 EcoBoost Start-Stopp-System,II (2010-),2015,154 000 km,998 cm3,Benzyna,125 KM,Manualna,Na przednie koła,117 g/km,Minivan,5,5,Brązowy,,,,Tak,Tak,Używane,True,True,True,True,,True,True,,True,True,,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,,True,True,True,True,True,True,True,,,True,True,True,True,,,,,,Niemcy,22/04/2015,,,True,True,True,True,True,,,True,,,,True,,,,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,
8,28200,"22:15, 5 lutego 2021",6081339724,Osoby prywatnej,Osobowe,Ford,Galaxy,2.0 TDCi DPF,Mk2 (2006-2015),2010,270 000 km,1 998 cm3,Diesel,140 KM,Manualna,Na przednie koła,,Minivan,5,7,Niebieski,,,,Tak,,Używane,True,True,True,True,True,True,True,True,,True,,,True,True,True,True,True,True,True,,True,True,True,True,True,,True,True,True,True,True,True,,True,True,,,True,,True,True,,,,,,Niemcy,,,Tak,True,,True,True,True,,Tak,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,28000,"22:11, 5 lutego 2021",6082035731,Osoby prywatnej,Osobowe,Ford,Focus,2.0 TDCi Titanium DPF,Mk2 (2004-2011),2010,171 000 km,1 997 cm3,Diesel,136 KM,Manualna,Na przednie koła,,Kompakt,5,5,Biały,,,,Tak,Tak,Używane,True,True,True,True,True,True,True,,True,True,True,,True,True,True,True,,True,True,,True,True,,True,True,,,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,,,,Niemcy,26/02/2010,RPR30618,Tak,True,,True,True,True,,Tak,,,,,True,,,,,True,,,Tak,True,True,True,,,,,,,,,,,,,,,,,,,,,
