,price,offer date,ID,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Typ,Liczba drzwi,Liczba miejsc,Kolor,Metalik,Możliwość finansowania,Pierwsza rejestracja,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Serwisowany w ASO,Stan,ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Bluetooth,Czujniki parkowania przednie,Elektrochromatyczne lusterko wsteczne,Gniazdo AUX,Klimatyzacja automatyczna,Kurtyny powietrzne,Relingi dachowe,Światła przeciwmgielne,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alufelgi,Czujnik deszczu,Czujniki parkowania tylne,Elektryczne szyby tylne,Gniazdo USB,Klimatyzacja dwustrefowa,Nawigacja GPS,System Start-Stop,Tempomat,Centralny zamek,Immobilizer,Radio fabryczne,ASR (kontrola trakcji),Czujnik zmierzchu,Elektrochromatyczne lusterka boczne,ESP (stabilizacja toru jazdy),Isofix,Komputer pokładowy,Podgrzewane lusterka boczne,Światła do jazdy dziennej,Wielofunkcyjna kierownica,Kraj pochodzenia,Elektrycznie ustawiane fotele,Poduszki boczne przednie,Przyciemniane szyby,Tapicerka skórzana,Hak,MP3,Podgrzewane przednie siedzenia,Wersja,Emisja CO2,VAT marża,Pierwszy właściciel,Bezwypadkowy,Podgrzewana przednia szyba,Faktura VAT,Tempomat aktywny,Alarm,Asystent pasa ruchu,Czujnik martwego pola,Łopatki zmiany biegów,Ogranicznik prędkości,Poduszki boczne tylne,Tapicerka welurowa,Gniazdo SD,Poduszka powietrzna chroniąca kolana,Światła LED,Zmieniarka CD,Perłowy,Leasing,Odtwarzacz DVD,Kamera cofania,Klimatyzacja manualna,Światła Xenonowe,Kierownica po prawej (Anglik),Filtr cząstek stałych,Uszkodzony,Akryl (niemetalizowany),Asystent parkowania,Podgrzewane tylne siedzenia,Klimatyzacja czterostrefowa,Dach panoramiczny,HUD (wyświetlacz przezierny),Tuner TV,Opłata początkowa,Miesięczna rata,Liczba pozostałych rat,Wartość wykupu,Regulowane zawieszenie,Szyberdach,Ogrzewanie postojowe,Gwarancja dealerska (w cenie),lub do (przebieg km),Radio niefabryczne,Matowy,Okres gwarancji producenta,Homologacja ciężarowa,Tuning,VIN
0,34900,"21:39, 19 lutego 2021",6082176744,Firmy,Osobowe,Volkswagen,Passat,B7 (2010-2014),2014,195 404 km,1 598 cm3,Diesel,105 KM,Manualna,Na przednie koła,Kombi,5,5,Czarny,Tak,Tak,27/10/2014,WWY69800,Tak,Tak,Używane,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14800,"21:36, 19 lutego 2021",6082176709,Firmy,Osobowe,Volkswagen,Passat,B6 (2005-2010),2006,300 317 km,1 968 cm3,Diesel,140 KM,Manualna,Na przednie koła,Kombi,5,5,Czarny,Tak,Tak,16/10/2006,GKA9TM6,,,Używane,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,,True,True,True,True,True,,,True,True,True,True,,True,Niemcy,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,32800,"21:35, 19 lutego 2021",6081778049,Firmy,Osobowe,Volkswagen,Passat,B7 (2010-2014),2011,197 000 km,1 968 cm3,Diesel,140 KM,Manualna,Na przednie koła,Kombi,5,5,Niebieski,Tak,,27/10/2011,,,Tak,Używane,True,True,True,True,,,,,True,,,True,,True,True,,,,True,,,,,True,True,True,True,,,,True,True,True,,,,Niemcy,,,,,,,True,2.0 TDI Comfortline,119 g/km,Tak,Tak,Tak,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9500,"21:33, 19 lutego 2021",6082176613,Osoby prywatnej,Osobowe,Volkswagen,Passat,B6 (2005-2010),2007,413 774 km,1 896 cm3,Diesel,105 KM,Manualna,Na przednie koła,Sedan,5,5,Srebrny,,,,CT8854M,,,Używane,True,True,True,True,,,,,True,,,,True,True,True,,,,True,,,,,True,True,True,True,,,,True,True,,,,,Polska,,,,,,,,1.9 TDI Comfortline,153 g/km,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,66800,"21:31, 19 lutego 2021",6081647658,Osoby prywatnej,Osobowe,Volkswagen,Passat,B8 (2014-),2015,130 000 km,1 968 cm3,Diesel,150 KM,Automatyczna,Na przednie koła,Kombi,5,5,Inny kolor,Tak,Tak,,,Tak,Tak,Używane,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,,,True,True,True,Variant 2.0 TDI SCR DSG BlueMotion,115 g/km,,Tak,Tak,True,Tak,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7900,"21:30, 19 lutego 2021",6081793705,Osoby prywatnej,Osobowe,Volkswagen,Passat,B5 (1996-2000),2000,437 849 km,1 595 cm3,Benzyna+LPG,100 KM,Manualna,Na przednie koła,Kombi,5,5,Niebieski,,,,WWL06275,Tak,,Używane,True,True,True,,,,,,,,,,True,True,True,,,,,,,,,,True,True,True,,,,,,,,,,Polska,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,168200,"21:28, 19 lutego 2021",6078249455,Firmy,Osobowe,Volkswagen,Passat,B8 (2014-),2019,4 281 km,2 000 cm3,Benzyna,190 KM,Automatyczna,Na przednie koła,Kombi,5,5,Biały,,Tak,07/07/2020,DW3JV10,,Tak,Używane,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Polska,True,,True,,,True,True,,,,Tak,,True,Tak,True,True,True,True,,True,,,True,True,True,,Tak,Tak,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
7,26500,"21:09, 19 lutego 2021",6080316663,Osoby prywatnej,Osobowe,Volkswagen,Passat,B6 (2005-2010),2009,131 000 km,1 968 cm3,Diesel,140 KM,Manualna,Na przednie koła,Sedan,5,5,Czarny,Tak,,02/07/2009,ETM 2T12,Tak,,Używane,True,True,True,True,,True,,True,True,,,,True,True,True,True,,True,True,,,,,True,True,True,True,True,,,,,,,,,Polska,True,True,,True,,,True,2.0 TDI Comfortline,156 g/km,,Tak,Tak,,,,True,,,,,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
8,13800,"21:07, 19 lutego 2021",6082230684,Osoby prywatnej,Osobowe,Volkswagen,Passat,B6 (2005-2010),2007,359 000 km,1 896 cm3,Diesel,105 KM,Manualna,Na przednie koła,Kombi,5,5,Inny kolor,Tak,,04/01/2007,,Tak,,Używane,True,True,True,True,,,,,True,True,True,,True,True,True,True,,,True,,,,,True,True,,True,True,,True,,True,,True,,,Polska,True,,,,True,,,1.9 TDI Highline,153 g/km,,,Tak,,,,True,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8700,"21:05, 19 lutego 2021",6082234468,Osoby prywatnej,Osobowe,Volkswagen,Passat,B5 FL (2000-2005),2001,400 000 km,2 496 cm3,Diesel,150 KM,Manualna,4x4 (stały),Kombi,5,5,Czarny,Tak,,,,Tak,,Używane,True,True,True,True,,,True,,True,,True,,,True,True,,True,,True,,True,,,True,True,True,True,True,True,,True,,True,True,,True,,,True,,True,True,,True,2.5 TDI 4Mot Highline,216 g/km,,,,True,,,True,,,,,True,,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
10,12500,"21:03, 19 lutego 2021",6079766378,Osoby prywatnej,Osobowe,Volkswagen,Passat,B6 (2005-2010),2007,311 000 km,1 968 cm3,Diesel,140 KM,Manualna,Na przednie koła,Kombi,5,5,Czarny,Tak,Tak,,,Tak,,Używane,True,True,True,True,,,,True,True,,True,,True,True,,True,,,True,,True,,,True,True,True,True,True,,,True,,True,True,,,,True,,,,,,,2.0 TDI Comfortline,156 g/km,,,Tak,,,,True,,,,,,True,,,,,,,,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,
11,65999,"21:00, 19 lutego 2021",6081646581,Firmy,Osobowe,Volkswagen,Passat,B8 (2014-),2017,91 100 km,1 968 cm3,Diesel,150 KM,Manualna,Na przednie koła,Sedan,4,5,Brązowy,Tak,Tak,29/03/2017,KRAJOWY,Tak,,Używane,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Polska,True,True,,,,True,,2.0 TDI BMT Comfortline,109 g/km,,Tak,Tak,,Tak,,True,,,,,,,True,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
12,12600,"20:57, 19 lutego 2021",6081793435,Osoby prywatnej,Osobowe,Volkswagen,Passat,B6 (2005-2010),2007,295 000 km,1 896 cm3,Diesel,105 KM,Manualna,Na przednie koła,Kombi,5,5,Niebieski,Tak,,,,Tak,,Używane,True,True,True,True,,,True,,True,,True,True,True,True,True,True,True,,,,True,,,True,True,True,True,True,,,True,True,,True,,,Niemcy,,True,,,True,,True,,,,,Tak,,,,,,,,True,True,True,,,,,,,,,,True,,Tak,,,,,,,,,,,,,,,,,,,,,,,
