,price,offer date,ID,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Typ,Liczba drzwi,Kolor,Zarejestrowany w Polsce,Stan,ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Hak,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Klimatyzacja manualna,Centralny zamek,Immobilizer,Wspomaganie kierownicy,Poduszki boczne przednie,Napęd,Liczba miejsc,Metalik,Kraj pochodzenia,Pierwsza rejestracja,Numer rejestracyjny pojazdu,Bezwypadkowy,ASR (kontrola trakcji),Klimatyzacja automatyczna,Podgrzewane przednie siedzenia,Światła przeciwmgielne,Alarm,ESP (stabilizacja toru jazdy),Komputer pokładowy,Przyciemniane szyby,Tapicerka welurowa,Radio fabryczne,Alufelgi,Nawigacja GPS,Relingi dachowe,Tempomat,Emisja CO2,Filtr cząstek stałych,Okres gwarancji producenta,Serwisowany w ASO,Asystent parkowania,Czujnik zmierzchu,Elektryczne szyby tylne,Gniazdo AUX,Isofix,Ogranicznik prędkości,Podgrzewane lusterka boczne,System Start-Stop,Bluetooth,Czujniki parkowania przednie,Elektrycznie ustawiane fotele,Gniazdo USB,Kurtyny powietrzne,Ogrzewanie postojowe,Poduszki boczne tylne,Światła LED,Tempomat aktywny,Czujnik deszczu,Czujniki parkowania tylne,Klimatyzacja czterostrefowa,Podgrzewana przednia szyba,Poduszka powietrzna chroniąca kolana,VAT marża,Gniazdo SD,Kamera cofania,Odtwarzacz DVD,Zmieniarka CD,Asystent pasa ruchu,Czujnik martwego pola,MP3,Światła do jazdy dziennej,Światła Xenonowe,Tapicerka skórzana,Wielofunkcyjna kierownica,lub do (przebieg km),Pierwszy właściciel,Elektrochromatyczne lusterko wsteczne,Perłowy,Możliwość finansowania,Elektrochromatyczne lusterka boczne,Faktura VAT,Leasing,Klimatyzacja dwustrefowa,Szyberdach,Dach panoramiczny,Łopatki zmiany biegów,Regulowane zawieszenie,Gwarancja dealerska (w cenie),Tuner TV,Akryl (niemetalizowany),Tuning,Radio niefabryczne,Uszkodzony,HUD (wyświetlacz przezierny),Podgrzewane tylne siedzenia,VIN
0,5900,"17:14, 11 lutego 2021",6080327831,Osoby prywatnej,Osobowe,Volkswagen,Passat,1.9 TDI Comfortline,B5 (1996-2000),1998,240 400 km,1 896 cm3,Diesel,110 KM,Manualna,Kombi,5,Szary,Tak,Używane,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7500,"17:06, 11 lutego 2021",6081832884,Osoby prywatnej,Osobowe,Volkswagen,Passat,1.9 TDI Highline,B5 FL (2000-2005),2004,318 000 km,1 896 cm3,Diesel,100 KM,Manualna,Kombi,5,Srebrny,Tak,Używane,True,True,True,True,True,True,True,,True,True,True,,Na przednie koła,5,Tak,Niemcy,27/02/2004,CNA2T61,Tak,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,99999,"17:05, 11 lutego 2021",6081831489,Osoby prywatnej,Osobowe,Volkswagen,Passat,2.0 TDI BMT Highline,B8 (2014-),2018,68 000 km,1 968 cm3,Diesel,150 KM,Manualna,Kombi,5,Srebrny,Tak,Używane,True,True,True,True,,True,True,,True,True,True,True,,5,,Polska,30/12/2018,,Tak,True,True,True,True,True,True,True,True,True,True,True,True,,,110 g/km,Tak,30/12/2021,Tak,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,79999,"17:01, 11 lutego 2021",6080871623,Firmy,Osobowe,Volkswagen,Passat,2.0 TDI Bi-Turbo BMT 4Mot Highline DSG,B8 (2014-),2015,136 000 km,1 968 cm3,Diesel,240 KM,Automatyczna,Kombi,5,Biały,Tak,Używane,True,True,True,,True,True,True,,True,True,True,True,4x4 (dołączany automatycznie),5,,Szwajcaria,,,,True,True,True,True,True,True,True,True,,True,True,True,True,True,140 g/km,,,Tak,,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,True,True,,True,True,Tak,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,
4,42900,"16:55, 11 lutego 2021",6081825713,Osoby prywatnej,Osobowe,Volkswagen,Passat,,B7 (2010-2014),2012,165 900 km,1 968 cm3,Diesel,140 KM,Manualna,Sedan,4,Czarny,Tak,Używane,True,True,True,True,True,True,True,,True,True,True,,Na przednie koła,5,Tak,Polska,19/06/2016,KR7K835,Tak,True,True,,True,True,True,True,,True,True,True,True,,True,119 g/km,Tak,,Tak,True,True,True,True,True,True,True,True,True,True,True,,True,,,True,,True,True,True,,,,,True,,,,,True,True,,,True,165 900 km,Tak,True,,,,,,,,,,,,,,,,,,,
5,21900,"16:55, 11 lutego 2021",6080797629,Osoby prywatnej,Osobowe,Volkswagen,Passat,1.9 TDI Comfortline,B6 (2005-2010),2007,170 000 km,1 896 cm3,Diesel,105 KM,Manualna,Sedan,4,Inny kolor,,Używane,True,True,True,True,True,True,True,,True,True,True,,Na przednie koła,5,,,12/12/2007,,,True,True,,,True,,True,True,True,True,True,,,True,,,,,,True,,,,,True,,,,,,,,,,,True,,,,,Tak,,,,,,,,,,,,,,,Tak,Tak,True,,,,,,,,,,,,,,,,
6,58900,"16:55, 11 lutego 2021",6081239529,Firmy,Osobowe,Volkswagen,Passat,2.0 TDI BMT Comfortline,B8 (2014-),2017,192 000 km,1 968 cm3,Diesel,150 KM,Manualna,Sedan,5,Szary,Tak,Używane,True,True,True,,True,True,True,,True,True,True,True,Na przednie koła,5,Tak,Polska,08/06/2017,PEWNY#KRAJOWY WE939PM,Tak,True,True,,True,True,True,True,True,True,True,True,True,,True,110 g/km,,,Tak,True,True,True,,True,True,True,,True,True,,True,True,,True,True,True,True,True,True,True,,,True,,,,True,,True,True,True,,True,,Tak,True,,Tak,True,Tak,Tak,True,,,,,,,,,,,,,
7,24000,"16:51, 11 lutego 2021",6077059748,Osoby prywatnej,Osobowe,Volkswagen,Passat,,B7 (2010-2014),2011,252 105 km,1 598 cm3,Diesel,105 KM,Manualna,Kombi,5,Czarny,Tak,Używane,True,True,True,,True,True,True,True,True,True,True,True,Na przednie koła,5,Tak,Niemcy,,,,True,,True,True,True,True,True,,True,True,True,True,True,True,,Tak,,,,True,True,True,True,,True,True,,True,True,True,True,,True,True,,True,True,,,True,,True,,True,,,,,True,,,True,,,True,,Tak,True,,,,True,True,,,,,,,,,,,
8,6790,"16:47, 11 lutego 2021",6081831986,Firmy,Osobowe,Volkswagen,Passat,2.0 Comfortline,B5 FL (2000-2005),2002,278 000 km,1 984 cm3,Benzyna,115 KM,Manualna,Kombi,5,Czarny,,Używane,True,True,True,,True,True,True,,True,True,True,True,Na przednie koła,5,Tak,,,,Tak,,True,,,True,True,,,True,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,49800,"16:41, 11 lutego 2021",6081533810,Osoby prywatnej,Osobowe,Volkswagen,Passat,2.0 TDI BMT Highline,B8 (2014-),2016,270 000 km,1 968 cm3,Diesel,190 KM,Manualna,Kombi,5,Szary,Tak,Używane,True,True,True,,,True,True,,True,True,True,,Na przednie koła,5,Tak,,,ZGL69203,Tak,,True,,True,,,True,,,,,True,,True,109 g/km,,,Tak,,,True,True,True,True,,True,True,True,,True,,,,True,True,True,True,True,,,,True,,,,True,,,True,True,True,True,,Tak,True,,,,,,True,,,,,,,,,,,,,
